sector,epoch,predicted_bjd,measured_bjd,oc_seconds,formal_timing_error_seconds,sector_jitter_seconds,timing_error_seconds,n_points,beta,reduced_chi_square,delta_bic,supported
9,2740,2458564.1303447997,2458564.131988149,141.98538024995213,42.14762734706646,46.9825197962704,63.117189872443824,174,1.0412605766704621,0.8794721346168616,1401.7911230002983,True
9,2741,2458564.91918332,2458564.921076837,163.59989694933518,40.42344529604818,46.9825197962704,61.97912629272488,174,1.0,0.9155359045085751,1341.4296717794166,True
9,2742,2458565.70802184,2458565.7093394115,113.83816379612261,43.57188665618195,46.9825197962704,64.07703545878279,174,1.0779895820161929,0.9508627860841099,1453.1279005303595,True
9,2743,2458566.49686036,2458566.498777502,165.6410992134363,40.44081027652484,46.9825197962704,61.99045331523894,173,1.0,0.857074012384234,1413.545928940381,True
9,2744,2458567.28569888,2458567.2877811547,179.90853065375762,47.5756630300482,46.9825197962704,66.86404773236238,174,1.1592565985091279,1.0285817390072594,1546.7077286883562,True
9,2745,2458568.0745373997,2458568.0763596958,157.4463822079653,40.562696787162544,46.9825197962704,62.07003735341414,173,1.0,0.9026330784304127,1381.860692220278,True
62,4548,2459990.35038896,2459990.3534636814,265.6559306164197,45.75168360855476,45.7856803880609,64.72669527803009,174,1.0,0.9433715557444309,1102.31523081275,True
62,4549,2459991.1392274797,2459991.1417331784,216.49238759042123,45.72853246562517,45.7856803880609,64.71033310111608,174,1.0,0.9192474014645137,1080.684752918888,True
62,4550,2459991.928066,2459991.9299797593,165.3488248567416,45.711453066990714,45.7856803880609,64.69826481516608,174,1.0,0.8647507336199008,1085.9661088975004,True
62,4551,2459992.71690452,2459992.71869269,154.49790302181805,45.716258535982526,45.7856803880609,64.70166012651035,174,1.0,0.7591380757407578,1057.042057582747,True
62,4552,2459993.50574304,2459993.50760755,161.09368414131484,77.76784036346429,45.7856803880609,90.24503046370437,174,1.700640356062919,0.8716504882483154,953.1861059486669,True
62,4553,2459994.29458156,2459994.2963928506,156.49549347284852,47.574781213782295,45.7856803880609,66.02793602814582,174,1.0399827052712343,0.898433964934595,993.6807801510834,True
62,4555,2459995.8722586,2459995.874203371,168.0282071742984,45.729411671131956,45.7856803880609,64.71095440793255,174,1.0,0.7255944785307559,1071.6641228141227,True
62,4556,2459996.66109712,2459996.663466571,204.72056775058047,45.71737715339472,45.7856803880609,64.70245051297054,174,1.0,0.9110011153843659,1030.490967227719,True
62,4557,2459997.4499356397,2459997.45220969,196.47797010791254,45.72132323701521,45.7856803880609,64.70523879208925,174,1.0,0.752433626982666,1091.308615201857,True
